TOPIC,PMID,OFFSET,LENGTH,Total_PMID,Location
169,10037710,1917,2826,2,jbc-1999
184,10037720,7205,1149,1,jbc-1999
185,10037723,34764,2199,1,jbc-1999
161,10037734,6171,1243,5,jbc-1999
165,10037734,12832,45,5,jbc-1999
165,10037734,11507,1309,5,jbc-1999
166,10037734,3269,2899,5,jbc-1999
166,10037734,92025,1537,5,jbc-1999
186,10037741,64643,1257,1,jbc-1999
178,10037770,14490,2243,1,jbc-1999
173,10037777,47454,852,1,jbc-1999
177,10037798,5682,1447,1,jcb
171,10037816,21276,1631,1,nar
171,10049952,0,134,1,jexpmed
167,10050866,20821,1325,2,jnci
185,10050866,1478,3496,2,jnci
168,10050867,44475,1418,4,jnci
174,10050867,44475,1418,4,jnci
174,10050867,57338,2254,4,jnci
174,10050867,72934,361,4,jnci
187,10051518,7575,3854,1,jgenphysio
166,10066725,62021,387,1,jappliedphysio
164,10066755,7767,1301,1,jbc-1999
165,10066776,2453,2874,1,jbc-1999
178,10066784,596,109,1,jbc-1999
162,10066793,9361,1771,4,jbc-1999
162,10066793,53333,1908,4,jbc-1999
162,10066793,51694,1636,4,jbc-1999
162,10066793,11135,611,4,jbc-1999
183,10066798,15821,1664,1,jbc-1999
170,10066821,57226,2253,1,jbc-1999
179,10067852,54945,3574,1,endocrinology
178,10067859,71445,26717,1,endocrinology
178,10067873,52891,15649,1,endocrinology
161,10068658,12989,1225,1,blood
161,10068662,80194,1059,1,blood
163,10069452,11010,673,1,carcinogenesis
163,10069456,3066,273,1,carcinogenesis
172,10069458,56061,2340,1,carcinogenesis
172,10069459,30424,1636,3,carcinogenesis
172,10069459,34302,21433,3,carcinogenesis
172,10069459,25112,3149,3,carcinogenesis
163,10069468,3925,2258,5,carcinogenesis
163,10069468,6186,919,5,carcinogenesis
169,10069468,41596,17655,5,carcinogenesis
169,10069468,6186,919,5,carcinogenesis
169,10069468,39394,435,5,carcinogenesis
162,10069470,38577,1536,2,carcinogenesis
174,10069470,35014,1307,2,carcinogenesis
177,10069471,58401,400,12,carcinogenesis
177,10069471,57669,729,12,carcinogenesis
177,10069471,1323,3467,12,carcinogenesis
177,10069471,53242,2146,12,carcinogenesis
177,10069471,60489,22719,12,carcinogenesis
177,10069471,22524,2599,12,carcinogenesis
177,10069471,12950,1461,12,carcinogenesis
177,10069471,55391,2275,12,carcinogenesis
177,10069471,6846,2321,12,carcinogenesis
177,10069471,49707,2142,12,carcinogenesis
177,10069471,9696,963,12,carcinogenesis
177,10069471,14414,2053,12,carcinogenesis
162,10069475,23420,16922,1,carcinogenesis
177,10069978,146593,135560,2,ajpcell
184,10069978,146593,135560,2,ajpcell
173,10069995,85142,532,1,ajpcell
176,10069998,25124,5945,2,ajpcell
176,10069998,96533,16432,2,ajpcell
179,10070005,129905,56766,1,ajpendometa
178,10070009,32234,2530,1,ajpendometa
165,10070023,41612,11231,1,ajpendometa
173,10070026,46190,595,1,ajpendometa
172,10070044,1997,2584,2,ajpgastro
172,10070044,62930,30635,2,ajpgastro
179,10070050,72458,17063,3,ajpgastro
179,10070050,60918,1818,3,ajpgastro
179,10070050,62763,1232,3,ajpgastro
170,10070059,3657,120,1,ajpheart
160,10070119,31612,3152,3,ajplung
160,10070119,34791,1156,3,ajplung
160,10070119,30499,1110,3,ajplung
162,10070948,13410,1033,7,jnci
168,10070948,7900,1872,7,jnci
168,10070948,2104,3401,7,jnci
172,10070948,7900,1872,7,jnci
174,10070948,2104,3401,7,jnci
174,10070948,7900,1872,7,jnci
174,10070948,30682,1278,7,jnci
164,10072423,45891,508,4,humolgen
164,10072423,0,143,4,humolgen
164,10072423,47113,372,4,humolgen
164,10072423,5484,3381,4,humolgen
163,10072428,3219,2220,1,humolgen
177,10072433,25333,1056,5,humolgen
177,10072433,20729,771,5,humolgen
177,10072433,4836,1061,5,humolgen
177,10072433,26398,1070,5,humolgen
177,10072433,0,151,5,humolgen
186,10075646,2678,3784,4,jbc-1999
186,10075646,1576,1099,4,jbc-1999
186,10075646,6465,3196,4,jbc-1999
186,10075646,15535,1171,4,jbc-1999
184,10075671,49218,1387,1,jbc-1999
176,10075672,98551,6396,1,jbc-1999
172,10075703,55025,2400,2,jbc-1999
172,10075703,53750,1254,2,jbc-1999
182,10075717,85938,592,2,jbc-1999
182,10075717,8167,2675,2,jbc-1999
172,10075719,4354,1805,1,jbc-1999
172,10075736,56023,1804,1,jbc-1999
163,10075740,60527,5295,2,jbc-1999
163,10075740,8416,1565,2,jbc-1999
164,10075979,65891,1836,2,jexpmed
164,10075979,76923,29267,2,jexpmed
175,10075986,33316,1929,1,nar
175,10075988,33617,3504,2,nar
175,10075988,30247,3361,2,nar
171,10076997,5335,3718,2,molendo
179,10076997,9056,1990,2,molendo
178,10077005,57369,15043,1,molendo
172,10085066,33597,824,2,jbc-1999
172,10085066,5767,577,2,jbc-1999
174,10085091,8146,1216,1,jbc-1999
161,10085096,47709,1375,2,jbc-1999
167,10085096,71637,1260,2,jbc-1999
162,10085098,55854,634,1,jbc-1999
180,10085099,61117,2290,3,jbc-1999
180,10085099,59664,1432,3,jbc-1999
180,10085099,66479,409,3,jbc-1999
187,10085101,9676,2373,1,jbc-1999
170,10085106,68897,214,1,jbc-1999
187,10085113,21127,777,1,jbc-1999
162,10085126,4575,814,6,jbc-1999
168,10085126,1976,2596,6,jbc-1999
174,10085126,5398,1137,6,jbc-1999
174,10085126,4575,814,6,jbc-1999
174,10085126,41659,851,6,jbc-1999
174,10085126,1976,2596,6,jbc-1999
173,10085139,64802,4822,1,jbc-1999
179,10085149,2123,3207,2,jbc-1999
179,10085149,5333,1836,2,jbc-1999
174,10085159,51443,2492,1,jbc-1999
187,10085331,37200,1428,2,jneuro
187,10085331,72342,31490,2,jneuro
187,10085339,86913,1117,1,jneuro
187,10085363,38644,1120,1,jneuro
181,10087264,10897,1312,1,jcb
175,10088620,47874,9155,1,jnci
162,10088632,1014,562,1,jnci
173,10089206,45704,4030,1,glycobiology
176,10089213,2249,78,1,glycobiology
166,10090940,61297,591,1,blood
167,10090948,10682,984,1,blood
186,10092585,5004,1615,3,jbc-1999
186,10092585,0,550,3,jbc-1999
186,10092585,7887,718,3,jbc-1999
161,10092597,17328,1769,1,jbc-1999
161,10092619,7392,2072,4,jbc-1999
165,10092619,7392,2072,4,jbc-1999
165,10092619,90778,619,4,jbc-1999
186,10092619,7392,2072,4,jbc-1999
187,10092621,74550,705,1,jbc-1999
184,10092625,7378,1298,1,jbc-1999
184,10092628,12314,1178,2,jbc-1999
184,10092628,54496,1604,2,jbc-1999
172,10092652,68872,2474,1,jbc-1999
187,10092653,2239,3744,2,jbc-1999
187,10092653,68428,7198,2,jbc-1999
178,10092673,6307,664,1,jbc-1999
178,10092680,1240,525,1,jbc-1999
178,10098485,54370,22405,1,endocrinology
179,10098492,33314,2814,3,endocrinology
179,10098492,40266,2982,3,endocrinology
179,10098492,9405,1180,3,endocrinology
161,10098495,23336,1983,4,endocrinology
181,10098495,65213,2308,4,endocrinology
181,10098495,67524,2769,4,endocrinology
181,10098495,23336,1983,4,endocrinology
176,10098500,57245,21198,2,endocrinology
178,10098500,57245,21198,2,endocrinology
170,10098508,46595,814,2,endocrinology
176,10098508,46595,814,2,endocrinology
172,10098510,12778,276,1,endocrinology
178,10098523,53855,953,1,endocrinology
178,10098530,53563,434,1,endocrinology
170,10099982,25152,2516,2,humanrep
176,10099982,3874,181,2,humanrep
162,10101186,522,349,2,nar
186,10101186,522,349,2,nar
176,10102935,99101,22395,2,jgenphysio
176,10102935,98918,179,2,jgenphysio
187,10102937,105924,3627,1,jgenphysio
175,10187766,55554,489,1,jbc-1999
166,10187774,66887,3405,1,jbc-1999
162,10187797,38457,2267,2,jbc-1999
186,10187797,38457,2267,2,jbc-1999
167,10187798,2406,3647,1,jbc-1999
184,10187800,82573,2805,1,jbc-1999
164,10187825,55266,6560,2,jbc-1999
171,10187825,55266,6560,2,jbc-1999
170,10187831,2942,3302,1,jbc-1999
179,10187832,63467,1097,1,jbc-1999
187,10187864,53026,1816,1,jbc-1999
175,10189367,71903,701,1,jcb
183,10189378,66233,1314,1,jcb
163,10190547,58836,2137,1,carcinogenesis
171,10190892,14809,1334,1,jexpmed
171,10190897,7687,1383,1,jexpmed
171,10190902,19180,2143,1,jexpmed
178,10190905,20833,2014,1,jexpmed
185,10194209,79851,17140,1,jappliedphysio
177,10194223,50046,2181,2,jappliedphysio
184,10194223,48261,1782,2,jappliedphysio
172,10194449,66832,625,1,blood
179,10194766,33675,4579,10,molendo
179,10194766,40210,3476,10,molendo
179,10194766,66213,1945,10,molendo
179,10194766,0,520,10,molendo
179,10194766,64282,1928,10,molendo
179,10194766,9895,1211,10,molendo
179,10194766,8537,1355,10,molendo
179,10194766,673,3382,10,molendo
179,10194766,84624,26016,10,molendo
179,10194766,58830,3602,10,molendo
167,10195283,8055,1535,1,peds
181,10196145,50394,542,2,jbc-1999
181,10196145,51988,1623,2,jbc-1999
170,10196146,68751,3386,1,jbc-1999
161,10196167,46655,3390,1,jbc-1999
172,10196169,8285,948,2,jbc-1999
177,10196169,3155,3262,2,jbc-1999
178,10196183,473,109,1,jbc-1999
172,10196184,57033,3546,1,jbc-1999
164,10196203,67552,715,11,jbc-1999
164,10196203,2821,3009,11,jbc-1999
164,10196203,63620,1643,11,jbc-1999
164,10196203,9436,1002,11,jbc-1999
164,10196203,54137,1025,11,jbc-1999
164,10196203,10447,1511,11,jbc-1999
164,10196203,65284,2247,11,jbc-1999
171,10196203,9436,1002,11,jbc-1999
171,10196203,54137,1025,11,jbc-1999
171,10196203,67552,715,11,jbc-1999
171,10196203,2821,3009,11,jbc-1999
178,10196204,39593,1542,2,jbc-1999
178,10196204,41138,2042,2,jbc-1999
171,10196212,6618,2214,1,jbc-1999
176,10196219,6329,4132,1,jbc-1999
168,10196224,29903,1092,5,jbc-1999
168,10196224,30998,1700,5,jbc-1999
168,10196224,7826,2128,5,jbc-1999
168,10196224,1631,1442,5,jbc-1999
174,10196224,3076,2802,5,jbc-1999
185,10196361,2805,2216,1,humolgen
181,10196365,12195,1792,10,humolgen
181,10196365,79797,444,10,humolgen
181,10196365,41444,789,10,humolgen
181,10196365,66114,370,10,humolgen
181,10196365,19467,1845,10,humolgen
181,10196365,1787,1192,10,humolgen
181,10196365,40014,1422,10,humolgen
181,10196365,7472,661,10,humolgen
181,10196365,5542,1921,10,humolgen
181,10196365,34309,1447,10,humolgen
182,10196367,4231,1224,1,humolgen
181,10196370,39111,1687,6,humolgen
181,10196370,48664,523,6,humolgen
181,10196370,65708,246,6,humolgen
181,10196370,27924,1571,6,humolgen
181,10196370,29587,1657,6,humolgen
181,10196370,1371,1590,6,humolgen
163,10196371,46621,646,1,humolgen
181,10196373,946,1263,10,humolgen
181,10196373,41498,465,10,humolgen
181,10196373,4109,1385,10,humolgen
181,10196373,37349,592,10,humolgen
181,10196373,29510,895,10,humolgen
181,10196373,41026,469,10,humolgen
181,10196373,23377,1504,10,humolgen
181,10196373,2298,590,10,humolgen
181,10196373,0,106,10,humolgen
181,10196373,5503,1240,10,humolgen
174,10196379,72823,325,4,humolgen
174,10196379,66692,440,4,humolgen
174,10196379,1455,1573,4,humolgen
174,10196379,29137,1077,4,humolgen
161,10198302,58369,1627,2,ajpendometa
177,10198302,68460,17916,2,ajpendometa
177,10198323,63027,990,1,ajpgastro
166,10198351,61057,1864,4,ajpgastro
166,10198351,76017,26527,4,ajpgastro
166,10198351,6854,4345,4,ajpgastro
179,10198351,73478,181,4,ajpgastro
170,10198364,40094,3187,4,ajplung
170,10198364,70297,19979,4,ajplung
170,10198364,50883,2781,4,ajplung
176,10198364,70297,19979,4,ajplung
172,10198366,4898,1673,2,ajplung
172,10198366,11581,892,2,ajplung
180,10198407,9862,2003,21,ajprenal
180,10198407,78582,2048,21,ajprenal
180,10198407,21401,2048,21,ajprenal
180,10198407,80633,906,21,ajprenal
180,10198407,59707,1015,21,ajprenal
180,10198407,27052,4418,21,ajprenal
180,10198407,97720,41562,21,ajprenal
180,10198407,31497,1728,21,ajprenal
180,10198407,4363,2136,21,ajprenal
180,10198407,35679,1615,21,ajprenal
180,10198407,53837,2039,21,ajprenal
180,10198407,4324,35,21,ajprenal
180,10198407,64168,2051,21,ajprenal
180,10198407,25373,1652,21,ajprenal
180,10198407,24626,720,21,ajprenal
180,10198407,63875,289,21,ajprenal
180,10198407,33252,2400,21,ajprenal
180,10198407,73372,2024,21,ajprenal
180,10198407,60749,868,21,ajprenal
182,10198407,60749,868,21,ajprenal
182,10198407,97720,41562,21,ajprenal
180,10198418,63016,17853,6,ajprenal
180,10198418,2263,2339,6,ajprenal
180,10198418,49079,2014,6,ajprenal
180,10198418,45150,1377,6,ajprenal
180,10198418,6158,1332,6,ajprenal
180,10198418,14639,1946,6,ajprenal
180,10198441,9514,1729,1,nar
176,10199807,95949,28026,2,ajpcell
176,10199807,6762,1836,2,ajpcell
170,10199813,6579,919,3,ajpcell
170,10199813,0,370,3,ajpcell
176,10199813,6579,919,3,ajpcell
172,10199827,8920,1002,3,ajpcell
172,10199827,65387,15901,3,ajpcell
172,10199827,1941,2263,3,ajpcell
187,10200205,42847,1976,1,jneuro
187,10200228,40667,2015,5,jneuro
187,10200228,36609,2194,5,jneuro
187,10200228,19084,2716,5,jneuro
187,10200228,32613,1262,5,jneuro
187,10200228,33878,2704,5,jneuro
187,10200237,51555,18171,1,jneuro
178,10203270,1088,1124,6,jnci
178,10203270,2215,1317,6,jnci
178,10203270,4860,1329,6,jnci
178,10203270,3535,1322,6,jnci
178,10203270,0,320,6,jnci
178,10203270,629,456,6,jnci
162,10203276,4077,308,1,jnci
178,10203281,47519,462,2,jnci
178,10203281,60081,436,2,jnci
163,10203282,24585,1862,3,jnci
168,10203282,17536,843,3,jnci
174,10203282,24585,1862,3,jnci
174,10203285,13716,1526,1,jnci
165,10206963,7173,1696,1,jbc-1999
187,10206982,4882,1456,1,jbc-1999
170,10206998,4589,1226,4,jbc-1999
176,10206998,4589,1226,4,jbc-1999
176,10206998,26557,1768,4,jbc-1999
176,10206998,55963,328,4,jbc-1999
161,10207009,0,1156,1,jbc-1999
173,10207029,46346,2692,1,jbc-1999
178,10207032,51662,1260,1,jbc-1999
185,10207042,6524,2201,1,jbc-1999
173,10207178,59864,2515,1,glycobiology
169,10209023,96891,16932,2,jcb
169,10209023,28992,3115,2,jcb
163,10209035,91008,21973,1,jexpmed
164,10209037,53780,1705,1,jexpmed
170,10212185,5573,1172,3,jbc-1999
176,10212185,5573,1172,3,jbc-1999
176,10212185,41434,408,3,jbc-1999
172,10212189,51223,5000,1,jbc-1999
184,10212198,119341,5608,1,jbc-1999
178,10212216,76136,298,1,jbc-1999
174,10212229,8555,691,1,jbc-1999
172,10216088,68448,1013,1,blood
171,10216102,89274,417,1,blood
178,10218947,43119,1044,1,endocrinology
161,10218948,49947,21127,1,endocrinology
164,10218969,71322,2700,1,endocrinology
177,10218974,10560,1976,1,endocrinology
172,10218984,1332,4413,2,endocrinology
172,10218984,71162,1859,2,endocrinology
185,10218987,42494,1513,1,endocrinology
166,10218988,19503,2051,1,endocrinology
185,10218993,1543,3113,2,endocrinology
185,10218993,58882,3003,2,endocrinology
183,10221210,1565,459,1,humanrep
160,10221246,34774,1448,1,humanrep
178,10221684,53573,477,1,humanrep
162,10223177,38887,3724,2,carcinogenesis
174,10223177,38887,3724,2,carcinogenesis
172,10223185,59099,27492,5,carcinogenesis
172,10223185,0,106,5,carcinogenesis
177,10223185,6696,1175,5,carcinogenesis
177,10223185,613,3171,5,carcinogenesis
177,10223185,4251,2442,5,carcinogenesis
163,10223192,47930,18750,2,carcinogenesis
163,10223192,3961,3283,2,carcinogenesis
163,10223193,8396,1474,1,carcinogenesis
163,10223208,3376,306,7,carcinogenesis
163,10223208,925,2437,7,carcinogenesis
163,10223208,3685,2010,7,carcinogenesis
163,10223208,29822,12228,7,carcinogenesis
169,10223208,3376,306,7,carcinogenesis
169,10223208,3685,2010,7,carcinogenesis
184,10223208,925,2437,7,carcinogenesis
161,10224039,21238,1008,1,jbc-1999
173,10224047,39764,2571,4,jbc-1999
173,10224047,6309,2824,4,jbc-1999
181,10224047,42356,1678,4,jbc-1999
183,10224047,6309,2824,4,jbc-1999
162,10224065,3039,3926,2,jbc-1999
186,10224065,3039,3926,2,jbc-1999
179,10224131,79589,2648,1,jbc-1999
171,10224281,41265,519,1,jexpmed
178,10225944,7945,3152,4,jcb
178,10225944,14178,2133,4,jcb
178,10225944,22695,1260,4,jcb
178,10225944,3249,1440,4,jcb
170,10225950,49773,1186,2,jcb
176,10225950,11290,1488,2,jcb
169,10225951,8646,3324,3,jcb
169,10225951,5777,1060,3,jcb
169,10225951,6864,1755,3,jcb
169,10225956,100233,31383,1,jcb
166,10233123,66991,502,1,jappliedphysio
162,10233871,76561,1032,2,blood
175,10233871,600570,508,2,blood
172,10318779,4940,1043,2,jbc-1999
172,10318779,20507,1535,2,jbc-1999
175,10318784,5520,3280,1,jbc-1999
161,10318786,5805,2439,3,jbc-1999
186,10318786,69018,574,3,jbc-1999
186,10318786,5805,2439,3,jbc-1999
162,10318797,9874,2676,1,jbc-1999
176,10318798,59508,212,1,jbc-1999
182,10318803,52508,2473,1,jbc-1999
164,10318855,5671,1786,5,jbc-1999
179,10318855,59529,2491,5,jbc-1999
179,10318855,7466,1149,5,jbc-1999
179,10318855,2982,2686,5,jbc-1999
179,10318855,5671,1786,5,jbc-1999
177,10318874,2994,2856,1,jbc-1999
178,10319319,45210,1965,1,molendo
179,10319326,10702,1784,1,molendo
177,10319327,82382,18323,1,molendo
178,10319328,768,2772,3,molendo
178,10319328,45959,1501,3,molendo
178,10319328,0,594,3,molendo
187,10322048,12220,2612,2,jneuro
187,10322048,2464,2987,2,jneuro
164,10322054,38049,1462,2,jneuro
164,10322054,0,400,2,jneuro
177,10323413,9069,14712,1,jclinicalendometa
177,10325262,23818,2091,2,humanrep
184,10325262,45039,1280,2,humanrep
172,10328106,49620,3216,1,jnci
165,10329643,5318,946,1,jbc-1999
184,10329644,46778,2117,1,jbc-1999
172,10329646,37444,1596,1,jbc-1999
182,10329655,9369,879,3,jbc-1999
182,10329655,7892,1468,3,jbc-1999
182,10329655,6589,1294,3,jbc-1999
184,10329685,82525,2356,2,jbc-1999
184,10329685,52856,1951,2,jbc-1999
187,10329700,2648,3207,1,jbc-1999
162,10329711,59499,2374,1,jbc-1999
172,10329733,6691,682,2,jbc-1999
172,10329733,2900,2952,2,jbc-1999
178,10329736,0,711,2,jbc-1999
178,10329736,8593,3399,2,jbc-1999
172,10329737,6263,1039,1,jbc-1999
160,10329951,57929,13677,1,ajpcell
161,10329974,40039,2122,1,ajpendometa
187,10329982,27525,2370,1,ajpendometa
166,10329998,21542,1582,1,ajpgastro
166,10330000,2250,2474,2,ajpgastro
177,10330000,47968,1531,2,ajpgastro
179,10330009,75561,4242,2,ajpgastro
179,10330009,113511,26019,2,ajpgastro
184,10330022,11508,2293,1,ajpgastro
182,10330024,91470,24659,6,ajplung
182,10330024,4089,1711,6,ajplung
182,10330024,79436,541,6,ajplung
182,10330024,24959,1982,6,ajplung
183,10330024,78579,830,6,ajplung
183,10330024,13053,3110,6,ajplung
178,10330038,83581,21964,1,ajplung
167,10330232,24380,956,1,ajpheart
169,10330276,56537,2285,1,intimm
162,10330400,95736,141,3,jcb
163,10330400,101505,3385,3,jcb
163,10330400,92144,3544,3,jcb
169,10330403,139192,22592,3,jcb
169,10330403,11263,2319,3,jcb
182,10330403,7036,2366,3,jcb
166,10330406,101249,26444,2,jcb
166,10330406,27952,2427,2,jcb
182,10330409,62635,3529,3,jcb
182,10330409,66167,2622,3,jcb
182,10330409,74715,1847,3,jcb
168,10330411,110298,35036,2,jcb
168,10330411,56209,1092,2,jcb
171,10330437,29761,1257,1,jexpmed
171,10330443,59181,26646,1,jexpmed
170,10330452,65961,1466,1,jhistocyto
180,10330455,54301,5568,1,jhistocyto
181,10332026,32575,1292,2,humolgen
181,10332026,2483,1055,2,humolgen
181,10332029,34213,1027,3,humolgen
181,10332029,1061,1439,3,humolgen
181,10332029,48921,394,3,humolgen
181,10332031,3503,737,1,humolgen
172,10334192,61396,3810,3,carcinogenesis
172,10334192,69896,22040,3,carcinogenesis
172,10334192,9055,3569,3,carcinogenesis
172,10334193,41402,4020,1,carcinogenesis
184,10334195,25400,1227,1,carcinogenesis
163,10334197,4833,3638,7,carcinogenesis
163,10334197,43845,28756,7,carcinogenesis
163,10334197,4583,247,7,carcinogenesis
163,10334197,36935,1639,7,carcinogenesis
163,10334197,40904,641,7,carcinogenesis
169,10334197,4583,247,7,carcinogenesis
169,10334197,4833,3638,7,carcinogenesis
171,10336417,5738,2849,1,jbc-1999
179,10336422,57777,3458,1,jbc-1999
183,10336426,8201,3100,1,jbc-1999
172,10336437,65212,2590,1,jbc-1999
161,10336441,6367,1289,2,jbc-1999
186,10336441,6367,1289,2,jbc-1999
165,10336452,4860,1390,1,jbc-1999
177,10336461,32874,4016,1,jbc-1999
178,10336465,69905,1956,1,jbc-1999
170,10336500,3010,2875,1,jbc-1999
178,10336989,26854,443,1,glycobiology
170,10336995,1059,1324,1,glycobiology
172,10339463,52646,1501,1,blood
177,10339472,27661,2627,1,blood
167,10339499,88161,2256,1,blood
172,10339505,5195,1847,1,blood
162,10339507,25641,3865,2,blood
186,10339507,25641,3865,2,blood
177,10340903,41220,1899,1,jnci
172,10340905,43223,1616,1,jnci
162,10340909,3117,880,5,jnci
168,10340909,3117,880,5,jnci
168,10340909,1448,754,5,jnci
174,10340909,1448,754,5,jnci
174,10340909,20511,362,5,jnci
178,10342835,50683,25793,1,endocrinology
166,10342840,66307,20231,1,endocrinology
161,10342848,53448,12888,1,endocrinology
167,10342863,84083,15045,2,endocrinology
183,10342863,84083,15045,2,endocrinology
166,10342871,80291,22913,1,endocrinology
185,10342878,23263,5637,1,endocrinology
185,10342886,687,2555,1,endocrinology
162,10347143,4276,1073,1,jbc-1999
176,10347165,37495,1323,1,jbc-1999
172,10347180,56558,1820,1,jbc-1999
176,10347184,47861,3085,1,jbc-1999
172,10347217,4719,1195,1,jbc-1999
167,10347227,47551,2438,1,jbc-1999
163,10347231,6123,711,9,jbc-1999
163,10347231,2470,3650,9,jbc-1999
163,10347231,16164,4015,9,jbc-1999
163,10347231,42748,3767,9,jbc-1999
163,10347231,40216,2529,9,jbc-1999
169,10347231,1140,1327,9,jbc-1999
169,10347231,42748,3767,9,jbc-1999
169,10347231,6123,711,9,jbc-1999
169,10347231,2470,3650,9,jbc-1999
169,10352011,45480,32221,1,jcb
184,10352012,83095,1190,1,jcb
169,10352016,13777,8268,1,jcb
163,10352017,9838,1188,4,jcb
169,10352017,9838,1188,4,jcb
169,10352017,107904,153,4,jcb
169,10352017,2768,1281,4,jcb
180,10352021,86873,5422,2,jcb
180,10352021,34854,3267,2,jcb
187,10352031,1419,1580,1,jgenphysio
172,10357768,32205,861,1,carcinogenesis
163,10357769,26264,1136,1,carcinogenesis
172,10357786,755,2914,1,carcinogenesis
163,10357789,3595,242,6,carcinogenesis
163,10357789,6879,833,6,carcinogenesis
163,10357789,41360,2429,6,carcinogenesis
163,10357789,46725,23866,6,carcinogenesis
163,10357789,3840,3036,6,carcinogenesis
169,10357789,3595,242,6,carcinogenesis
162,10357790,76683,24435,1,carcinogenesis
163,10357794,4226,401,7,carcinogenesis
163,10357794,38726,1045,7,carcinogenesis
163,10357794,693,3519,7,carcinogenesis
163,10357794,36317,2406,7,carcinogenesis
163,10357794,7012,1066,7,carcinogenesis
169,10357794,7012,1066,7,carcinogenesis
169,10357794,4226,401,7,carcinogenesis
178,10357983,64063,475,1,humanrep
162,10357995,22726,1159,1,humanrep
169,10358042,36697,635,4,jbc-1999
169,10358042,37335,971,4,jbc-1999
169,10358042,2975,373,4,jbc-1999
169,10358042,34360,1299,4,jbc-1999
167,10358052,2443,2978,7,jbc-1999
167,10358052,33365,2750,7,jbc-1999
167,10358052,10105,3051,7,jbc-1999
167,10358052,58776,2767,7,jbc-1999
183,10358052,57186,1569,7,jbc-1999
183,10358052,38536,2880,7,jbc-1999
183,10358052,33365,2750,7,jbc-1999
167,10358062,36953,2141,1,jbc-1999
180,10358083,5335,1192,1,jbc-1999
167,10358101,44262,1889,1,jbc-1999
168,10359538,1059,558,4,jnci
174,10359538,5318,1664,4,jnci
174,10359538,1620,987,4,jnci
174,10359538,2610,1175,4,jnci
163,10359544,156589,422,23,jnci
163,10359544,74015,1468,23,jnci
163,10359544,628,4141,23,jnci
163,10359544,78281,1882,23,jnci
